source_record_id,refund_id,order_id,refund_reason,refund_requested_ts,refund_approved_ts,refund_status,refund_amount_inr,refund_channel,source_system
REFREC000017,QBF000017,QBO0029619,service_quality,2026-01-12T10:39:00,2026-01-14T08:01:00,APPROVED,132.59,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000018,QBF000018,QBO0003147,missing_item,2026-03-10T08:14:00,2026-03-10T23:04:00,APPROVED,87.85,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000019,QBF000019,QBO0082757,late_delivery,2026-01-08T11:16:00,2026-01-09T13:36:00,APPROVED,277.52,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000020,QBF000020,QBO0120055,order_cancelled,2026-01-21T12:40:00,,REQUESTED,203.59,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000021,QBF000021,QBO0084995,service_quality,2026-03-31T07:29:00,2026-04-01T03:24:00,REJECTED,685.42,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000022,QBF000022,QBO0075433,late_delivery,2026-01-16T13:08:00,,REQUESTED,613.21,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000023,QBF000023,QBO0017890,service_quality,2026-03-17T17:49:00,2026-03-18T12:33:00,APPROVED,367.62,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000024,QBF000024,QBO0005147,missing_item,2026-02-26T00:18:00,2026-02-27T09:12:00,APPROVED,104.88,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000025,QBF000025,QBO0119618,missing_item,2026-03-23T00:49:00,2026-03-23T07:11:00,APPROVED,387.9,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000026,QBF000026,QBO0038558,service_quality,2026-03-27T01:44:00,2026-03-27T20:04:00,APPROVED,348.41,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000027,QBF000027,QBO0037321,missing_item,2026-03-16T13:04:00,,REQUESTED,306.48,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000028,QBF000028,QBO0085008,late_delivery,2026-03-28T15:43:00,2026-03-31T10:21:00,APPROVED,328.43,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000029,QBF000029,QBO0049241,missing_item,2026-02-12T14:39:00,2026-02-14T09:52:00,APPROVED,499.95,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000030,QBF000030,QBO0099873,late_delivery,2026-01-28T13:07:00,2026-01-29T03:51:00,REJECTED,73.72,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000031,QBF000031,QBO0054182,late_delivery,2026-01-27T07:42:00,2026-01-27T08:05:00,APPROVED,133.17,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000032,QBF000032,QBO0125469,rider_unavailable,2026-03-13T03:39:00,2026-03-15T07:26:00,REJECTED,324.64,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000033,QBF000033,QBO0057128,late_delivery,2026-01-04T06:40:00,2026-01-07T02:59:00,APPROVED,121.02,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000034,QBF000034,QBO0137971,late_delivery,2026-01-22T01:00:00,2026-01-24T15:08:00,APPROVED,81.31,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000035,QBF000035,QBO0024954,service_quality,2026-02-16T12:13:00,2026-02-18T07:53:00,APPROVED,134.94,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000036,QBF000036,QBO0046192,missing_item,2026-03-10T19:08:00,2026-03-10T22:09:00,APPROVED,91.29,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000037,QBF000037,QBO0108077,late_delivery,2026-03-06T21:09:00,2026-03-09T20:07:00,REJECTED,244.87,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000038,QBF000038,QBO0140513,missing_item,2026-03-04T08:33:00,2026-03-06T04:41:00,APPROVED,186.34,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000039,QBF000039,QBO0096669,late_delivery,2026-01-23T12:58:00,2026-01-25T11:14:00,REJECTED,237.56,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000040,QBF000040,QBO0137123,missing_item,2026-01-20T06:55:00,2026-01-20T08:02:00,REJECTED,259.28,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000041,QBF000041,QBO0112267,late_delivery,2026-02-10T13:48:00,2026-02-12T14:54:00,APPROVED,142.68,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000042,QBF000042,QBO0142838,missing_item,2026-02-16T22:09:00,2026-02-19T10:16:00,REJECTED,177.06,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000043,QBF000043,QBO0061903,service_quality,2026-02-01T01:27:00,2026-02-02T14:02:00,APPROVED,140.98,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000044,QBF000044,QBO0096882,restaurant_cancelled,2026-01-12T17:56:00,2026-01-15T10:07:00,REJECTED,247.8,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000045,QBF000045,QBO0006912,missing_item,2026-03-23T05:03:00,2026-03-25T23:12:00,APPROVED,264.21,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000046,QBF000046,QBO0129313,restaurant_cancelled,2026-03-06T13:43:00,,REQUESTED,235.05,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000047,QBF000047,QBO0138728,late_delivery,2026-03-21T12:31:00,2026-03-23T09:21:00,APPROVED,221.68,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000048,QBF000048,QBO0037116,service_quality,2026-03-30T00:34:00,2026-03-31T03:08:00,APPROVED,473.11,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000049,QBF000049,QBO0091521,missing_item,2026-03-09T02:08:00,2026-03-11T04:41:00,REJECTED,70.38,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000050,QBF000050,QBO0086459,missing_item,2026-01-20T10:04:00,2026-01-22T22:23:00,APPROVED,781.46,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000051,QBF000051,QBO0132586,missing_item,2026-01-03T04:21:00,2026-01-05T23:04:00,APPROVED,220.91,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000052,QBF000052,QBO0067173,missing_item,2026-03-09T08:49:00,,REQUESTED,300.22,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000053,QBF000053,QBO0055144,service_quality,2026-02-12T16:46:00,2026-02-15T10:29:00,APPROVED,177.26,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000054,QBF000054,QBO0074640,missing_item,2026-02-16T10:37:00,2026-02-16T17:25:00,APPROVED,232.84,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000055,QBF000055,QBO0138912,late_delivery,2026-03-10T05:16:00,2026-03-11T17:24:00,APPROVED,126.38,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000056,QBF000056,QBO0103866,order_cancelled,2026-02-11T00:06:00,,REQUESTED,255.81,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000057,QBF000057,QBO0022556,missing_item,2026-03-06T06:31:00,2026-03-08T09:19:00,REJECTED,90.39,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000058,QBF000058,QBO0059058,missing_item,2026-03-20T00:42:00,2026-03-20T16:54:00,APPROVED,39.08,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000059,QBF000059,QBO0050223,late_delivery,2026-03-21T08:28:00,2026-03-22T16:10:00,APPROVED,665.59,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000060,QBF000060,QBO0015511,late_delivery,2026-02-10T18:01:00,2026-02-11T21:32:00,APPROVED,122.15,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000061,QBF000061,QBO0012915,missing_item,2026-03-01T16:49:00,2026-03-02T18:58:00,APPROVED,161.76,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000062,QBF000062,QBO0029320,late_delivery,2026-01-24T13:54:00,2026-01-26T09:52:00,APPROVED,195.57,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000063,QBF000063,QBO0124112,late_delivery,2026-02-05T00:30:00,2026-02-05T12:17:00,APPROVED,99.31,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000064,QBF000064,QBO0128857,service_quality,2026-03-18T17:46:00,2026-03-18T23:53:00,APPROVED,271.98,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000065,QBF000065,QBO0122969,order_cancelled,2026-01-08T03:21:00,2026-01-10T05:30:00,APPROVED,234.22,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000066,QBF000066,QBO0126622,late_delivery,2026-01-02T13:15:00,,REQUESTED,421.43,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000067,QBF000067,QBO0065198,missing_item,2026-02-15T01:06:00,2026-02-16T08:51:00,APPROVED,166.49,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000068,QBF000068,QBO0100484,restaurant_cancelled,2026-02-01T20:52:00,2026-02-04T07:02:00,APPROVED,238.35,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000069,QBF000069,QBO0056469,restaurant_cancelled,2026-03-22T14:48:00,2026-03-23T01:03:00,APPROVED,121.66,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000070,QBF000070,QBO0139641,restaurant_cancelled,2026-03-21T09:53:00,2026-03-22T01:51:00,APPROVED,77.73,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000071,QBF000071,QBO0033682,order_cancelled,2026-02-24T03:31:00,2026-02-24T17:23:00,APPROVED,118.07,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000072,QBF000072,ORPHAN_ORDER_0048,service_quality,2026-03-02T11:33:00,2026-03-05T00:22:00,APPROVED,46.72,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000073,QBF000073,QBO0087961,missing_item,2026-01-20T22:38:00,,REQUESTED,56.3,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000074,QBF009700,QBO0142822,missing_item,2026-03-08T23:37:00,2026-03-11T03:19:00,APPROVED,126.77,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000075,QBF000075,QBO0003099,service_quality,2026-01-08T07:44:00,,REQUESTED,258.69,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000076,QBF000076,QBO0022154,missing_item,2026-03-19T04:31:00,2026-03-21T15:41:00,APPROVED,260.52,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000077,QBF000077,QBO0118919,service_quality,2026-02-06T11:04:00,2026-02-06T16:48:00,APPROVED,329.95,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000078,QBF000078,QBO0026938,service_quality,2026-02-21T02:08:00,2026-02-21T10:36:00,APPROVED,666.79,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000079,QBF000079,QBO0008366,missing_item,2026-03-31T22:47:00,2026-04-02T05:05:00,REJECTED,97.87,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000080,QBF000080,QBO0073863,order_cancelled,2026-03-22T06:27:00,2026-03-22T15:59:00,APPROVED,157.74,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000081,QBF000081,QBO0052382,late_delivery,2026-02-23T04:32:00,2026-02-23T21:36:00,REJECTED,433.83,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000082,QBF000082,QBO0070858,service_quality,2026-02-03T01:05:00,,REQUESTED,334.95,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000083,QBF000083,QBO0146359,service_quality,2026-03-04T23:50:00,2026-03-06T08:29:00,APPROVED,82.8,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000084,QBF000084,QBO0005988,service_quality,2026-01-31T14:36:00,2026-02-01T18:20:00,REJECTED,521.61,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000085,QBF000085,QBO0119157,service_quality,2026-01-07T09:38:00,2026-01-10T06:34:00,APPROVED,175.58,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000086,QBF000086,QBO0092599,late_delivery,2026-03-21T07:34:00,,REQUESTED,493.45,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000087,QBF000087,QBO0043652,service_quality,2026-02-24T08:10:00,2026-02-24T14:41:00,APPROVED,312.68,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000088,QBF000088,QBO0070451,late_delivery,2026-01-30T14:25:00,2026-01-31T06:40:00,APPROVED,481.48,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000089,QBF000089,QBO0027798,service_quality,2026-03-02T20:07:00,2026-03-05T03:07:00,REJECTED,320.16,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000090,QBF000090,QBO0141075,missing_item,2026-01-26T01:07:00,2026-01-26T08:19:00,APPROVED,297.85,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000091,QBF000091,QBO0073954,service_quality,2026-02-16T12:17:00,2026-02-17T01:25:00,APPROVED,385.13,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000092,QBF000092,QBO0038715,late_delivery,2026-01-05T20:14:00,2026-01-08T08:28:00,APPROVED,455.67,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000093,QBF000093,QBO0088252,restaurant_cancelled,2026-01-06T18:52:00,2026-01-07T14:29:00,APPROVED,177.87,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000094,QBF000094,QBO0071074,service_quality,2026-01-28T04:37:00,2026-01-28T12:25:00,APPROVED,67.2,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000095,QBF000095,QBO0105955,missing_item,2026-03-04T18:34:00,2026-03-06T21:54:00,REJECTED,302.93,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000096,QBF000096,QBO0135792,late_delivery,2026-03-04T00:06:00,2026-03-06T03:27:00,APPROVED,138.63,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000097,QBF000097,QBO0003836,late_delivery,2026-03-13T07:05:00,,REQUESTED,198.7,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000098,QBF000098,QBO0034208,missing_item,2026-02-10T18:40:00,2026-02-12T22:33:00,APPROVED,304.83,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000099,QBF000099,QBO0124059,restaurant_cancelled,2026-03-26T03:30:00,2026-03-28T20:10:00,APPROVED,181.02,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000100,QBF000100,QBO0022957,late_delivery,2026-02-23T07:21:00,2026-02-23T17:48:00,APPROVED,62.59,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000101,QBF000101,QBO0071570,order_cancelled,2026-03-02T17:50:00,2026-03-03T06:05:00,APPROVED,198.88,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000102,QBF000102,QBO0139220,late_delivery,2026-03-10T08:18:00,2026-03-12T18:43:00,APPROVED,250.12,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000103,QBF000103,QBO0071106,rider_unavailable,2026-02-19T14:24:00,2026-02-22T05:23:00,APPROVED,208.62,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000104,QBF000104,QBO0083232,service_quality,2026-01-29T07:17:00,2026-01-30T18:04:00,APPROVED,85.42,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000105,QBF000105,QBO0025128,missing_item,2026-02-10T11:11:00,2026-02-11T14:44:00,APPROVED,154.96,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000106,QBF000106,QBO0045572,service_quality,2026-03-01T01:32:00,2026-03-02T23:28:00,APPROVED,240.73,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000107,QBF000107,QBO0104026,missing_item,2026-02-28T16:39:00,2026-03-03T03:22:00,APPROVED,361.23,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000108,QBF000108,QBO0139853,rider_unavailable,2026-03-03T12:10:00,2026-03-04T04:36:00,APPROVED,97.12,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000109,QBF000109,QBO0109757,late_delivery,2026-03-17T21:07:00,2026-03-20T17:31:00,APPROVED,592.35,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000110,QBF000110,QBO0139256,service_quality,2026-03-23T10:43:00,2026-03-24T10:48:00,REJECTED,89.96,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000111,QBF000111,QBO0125234,missing_item,2026-03-21T18:36:00,2026-03-24T04:53:00,APPROVED,63.58,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000112,QBF000112,QBO0123486,late_delivery,2026-01-22T22:28:00,2026-01-23T06:26:00,APPROVED,162.26,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000113,QBF000113,QBO0037368,service_quality,2026-03-30T18:38:00,2026-03-31T18:46:00,APPROVED,136.62,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000114,QBF000114,QBO0026136,late_delivery,2026-01-29T17:38:00,2026-01-30T13:29:00,APPROVED,117.07,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000115,QBF000115,QBO0055414,missing_item,2026-03-11T04:28:00,2026-03-13T23:03:00,REJECTED,280.38,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000116,QBF000116,QBO0040473,service_quality,2026-01-09T05:25:00,2026-01-11T13:19:00,APPROVED,295.78,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000117,QBF000117,QBO0134962,service_quality,2026-03-21T04:55:00,,REQUESTED,195.51,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000118,QBF000118,QBO0030374,rider_unavailable,2026-02-16T02:34:00,2026-02-16T06:39:00,APPROVED,250.29,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000119,QBF000119,QBO0098200,late_delivery,2026-03-03T00:55:00,2026-03-03T19:10:00,APPROVED,65.26,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000120,QBF002143,QBO0012692,missing_item,2026-01-07T14:15:00,2026-01-09T01:43:00,APPROVED,64.32,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000121,QBF000121,QBO0059618,service_quality,2026-03-31T16:07:00,2026-04-01T22:44:00,APPROVED,197.35,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000122,,QBO0129166,service_quality,2026-01-29T16:18:00,2026-02-01T00:23:00,APPROVED,40.18,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000123,QBF000123,QBO0134399,service_quality,2026-02-14T12:46:00,2026-02-16T14:17:00,APPROVED,67.53,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000124,QBF000124,QBO0123391,service_quality,2026-03-05T00:15:00,2026-03-06T02:00:00,REJECTED,238.25,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000125,QBF000125,QBO0085611,missing_item,2026-01-28T14:10:00,2026-01-28T15:17:00,APPROVED,275.35,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000126,QBF000126,QBO0031900,late_delivery,2026-01-02T03:48:00,2026-01-04T04:56:00,APPROVED,291.23,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000127,QBF000127,QBO0054523,late_delivery,2026-03-07T17:11:00,2026-03-08T23:58:00,APPROVED,311.59,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000128,QBF000128,QBO0075769,late_delivery,2026-02-15T20:55:00,2026-02-16T14:14:00,APPROVED,91.63,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000129,QBF000129,QBO0001270,service_quality,2026-03-14T15:35:00,2026-03-15T14:43:00,REJECTED,218.9,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000130,QBF000130,QBO0012218,order_cancelled,2026-01-05T17:45:00,2026-01-06T02:51:00,REJECTED,157.81,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000131,QBF000131,QBO0033742,service_quality,2026-03-07T23:23:00,,REQUESTED,257.16,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000132,QBF000132,QBO0067653,late_delivery,2026-02-13T00:48:00,2026-02-15T23:26:00,APPROVED,201.51,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000133,QBF000133,QBO0073380,missing_item,2026-01-17T04:46:00,2026-01-19T10:30:00,APPROVED,217.32,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000134,QBF000134,QBO0030448,late_delivery,2026-01-18T21:41:00,2026-01-20T13:21:00,APPROVED,148.38,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000135,QBF000135,QBO0139052,late_delivery,2026-01-17T00:07:00,2026-01-18T21:58:00,APPROVED,479.1,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000136,QBF000136,QBO0145676,missing_item,2026-01-01T11:36:00,2026-01-01T18:16:00,APPROVED,151.43,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000137,QBF000137,QBO0129373,service_quality,2026-02-17T07:50:00,2026-02-19T13:58:00,APPROVED,126.22,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000138,QBF000138,QBO0109171,late_delivery,2026-02-10T18:04:00,2026-02-13T12:34:00,REJECTED,118.95,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000139,QBF000139,QBO0084672,service_quality,2026-03-06T12:22:00,2026-03-07T13:07:00,APPROVED,242.8,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000140,QBF000140,QBO0111758,rider_unavailable,2026-02-16T02:49:00,2026-02-19T02:13:00,APPROVED,191.61,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000141,QBF000141,QBO0083124,order_cancelled,2026-01-06T07:51:00,2026-01-08T09:19:00,APPROVED,307.58,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000142,QBF000142,QBO0123922,missing_item,2026-01-19T00:29:00,2026-01-21T00:55:00,APPROVED,117.5,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000143,QBF000143,QBO0144388,service_quality,2026-01-06T15:12:00,2026-01-08T12:14:00,APPROVED,306.95,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000144,QBF000144,QBO0123566,late_delivery,2026-02-20T15:42:00,2026-02-23T06:12:00,APPROVED,314.73,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000145,QBF000145,QBO0121753,missing_item,2026-03-04T06:39:00,,REQUESTED,147.46,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000146,QBF000146,QBO0111274,missing_item,2026-03-27T05:03:00,2026-03-27T11:32:00,REJECTED,188.03,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000147,QBF000147,QBO0046392,late_delivery,2026-03-15T10:11:00,2026-03-16T08:04:00,APPROVED,177.32,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000148,QBF000148,QBO0114144,missing_item,2026-03-11T06:46:00,2026-03-11T15:19:00,REJECTED,116.63,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000149,QBF000149,QBO0090661,service_quality,2026-01-05T19:25:00,,REQUESTED,153.51,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000150,QBF000150,QBO0068050,service_quality,2026-03-20T07:49:00,2026-03-20T13:34:00,APPROVED,168.19,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000151,QBF000151,QBO0090412,missing_item,2026-01-05T12:36:00,2026-01-05T19:07:00,APPROVED,422.18,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000152,QBF000152,QBO0112539,late_delivery,2026-02-26T18:22:00,2026-02-27T02:18:00,APPROVED,109.69,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000153,QBF000153,QBO0086290,service_quality,2026-03-21T19:46:00,2026-03-21T23:30:00,APPROVED,227.78,WALLET_CREDIT,QUICKBITE_REFUND_V1
