rider_id,home_city,service_zone,zone_group,vehicle_type,service_status,max_service_radius_km,shift_type,onboarding_date,record_updated_at
QBD00021,Hyderabad,HYD_KUKATPALLY,NORTH,MOTORBIKE,ACTIVE,12.2,FLEX,2021-12-03,2026-03-14T18:15:00
QBD00022,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,10.5,FLEX,2021-06-29,2026-03-31T12:52:00
QBD00023,Bengaluru,BLR_KORAMANGALA,SOUTH,E_BIKE,ACTIVE,5.7,FLEX,2022-08-28,2026-03-14T02:41:00
QBD00024,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,9.5,MORNING,2024-12-22,2026-03-17T04:28:00
QBD00025,Bengaluru,BLR_INDIRANAGAR,EAST,SCOOTER,ACTIVE,8.5,FLEX,2023-11-20,2026-03-26T14:10:00
QBD00026,Pune,PUN_KOTHRUD,WEST,SCOOTER,ACTIVE,7.6,FLEX,2024-05-15,2026-03-17T08:28:00
QBD00027,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,6.5,MORNING,2023-01-16,2026-03-07T09:10:00
QBD00028,Pune,PUN_HINJAWADI,WEST,BICYCLE,TEMPORARILY_PAUSED,6.7,EVENING,2020-03-20,2026-03-30T02:20:00
QBD00029,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,9.7,FLEX,2020-07-11,2026-03-06T05:15:00
QBD00030,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,9.4,EVENING,2024-07-07,2026-03-13T03:18:00
QBD00031,Pune,PUN_VIMAN_NAGAR,EAST,SCOOTER,ACTIVE,9.9,FLEX,2023-04-20,2026-03-22T17:01:00
QBD00032,Bengaluru,BLR_WHITEFIELD,EAST,BICYCLE,ACTIVE,8.8,FLEX,2022-04-14,2026-03-10T23:42:00
QBD00033,Bengaluru,BLR_JAYANAGAR,SOUTH,E_BIKE,ACTIVE,11.7,FLEX,2023-01-11,2026-03-15T19:37:00
QBD00034,Bengaluru,BLR_INDIRANAGAR,EAST,MOTORBIKE,ACTIVE,4.7,EVENING,2022-05-13,2026-03-29T16:03:00
QBD00035,Pune,PUN_VIMAN_NAGAR,EAST,SCOOTER,ACTIVE,11.2,EVENING,2020-01-09,2026-03-18T21:52:00
QBD00036,Pune,PUN_KOTHRUD,WEST,MOTORBIKE,ACTIVE,6.9,MORNING,2022-08-02,2026-03-17T10:31:00
QBD00037,Pune,PUN_VIMAN_NAGAR,EAST,E_BIKE,ACTIVE,8.5,MORNING,2023-08-15,2026-03-22T22:50:00
QBD00038,Pune,PUN_HINJAWADI,WEST,E_BIKE,ACTIVE,5.0,MORNING,2025-10-23,2026-03-04T16:16:00
QBD00039,Hyderabad,HYD_GACHIBOWLI,WEST,SCOOTER,ACTIVE,10.9,FLEX,2025-10-18,2026-03-04T19:56:00
QBD00040,Pune,PUN_HINJAWADI,WEST,SCOOTER,TEMPORARILY_PAUSED,12.3,FLEX,2022-12-26,2026-03-31T10:00:00
QBD00041,Hyderabad,HYD_GACHIBOWLI,WEST,BICYCLE,ACTIVE,4.7,EVENING,2021-06-23,2026-03-22T18:21:00
QBD00042,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,TEMPORARILY_PAUSED,4.5,EVENING,2024-03-07,2026-03-24T10:43:00
QBD00043,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,9.6,FLEX,2025-08-04,2026-03-11T03:54:00
QBD00044,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,11.5,FLEX,2023-10-01,2026-03-10T09:41:00
QBD00045,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,11.6,FLEX,2022-02-17,2026-03-11T16:05:00
QBD00046,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,5.7,FLEX,2023-05-05,2026-03-18T21:04:00
QBD00047,Bengaluru,BLR_KORAMANGALA,SOUTH,E_BIKE,ACTIVE,10.7,FLEX,2022-08-15,2026-03-20T07:39:00
QBD00048,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,7.0,MORNING,2024-07-10,2026-03-20T00:13:00
QBD00049,Hyderabad,HYD_GACHIBOWLI,WEST,SCOOTER,ACTIVE,9.8,EVENING,2025-04-10,2026-03-04T00:25:00
QBD00050,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,12.5,MORNING,2023-05-29,2026-03-08T15:58:00
QBD00051,Pune,PUN_BANER,NORTH,MOTORBIKE,TEMPORARILY_PAUSED,11.2,EVENING,2023-05-19,2026-03-05T19:48:00
QBD00052,Pune,PUN_BANER,NORTH,SCOOTER,ACTIVE,4.9,FLEX,2021-04-25,2026-03-29T21:27:00
QBD00053,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,6.8,MORNING,2020-02-23,2026-03-10T13:32:00
QBD00054,Pune,PUN_KOTHRUD,WEST,MOTORBIKE,ACTIVE,8.9,EVENING,2024-01-13,2026-03-20T08:31:00
QBD00055,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,6.5,EVENING,2025-07-03,2026-03-21T13:35:00
QBD00056,Bengaluru,BLR_KORAMANGALA,SOUTH,MOTORBIKE,ACTIVE,4.4,EVENING,2022-10-27,2026-03-17T10:41:00
QBD00057,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,10.6,EVENING,2024-01-26,2026-03-16T08:50:00
QBD00058,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,TEMPORARILY_PAUSED,12.9,FLEX,2021-01-13,2026-03-22T17:58:00
QBD00059,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,12.4,MORNING,2020-01-26,2026-03-25T23:33:00
QBD00060,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,5.4,MORNING,2022-05-21,2026-03-13T23:19:00
QBD00061,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,11.1,FLEX,2023-02-15,2026-03-28T23:04:00
QBD00062,Pune,PUN_VIMAN_NAGAR,EAST,SCOOTER,ACTIVE,12.4,FLEX,2022-04-28,2026-03-03T06:50:00
QBD00063,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,9.3,EVENING,2021-08-19,2026-03-03T22:13:00
QBD00064,Pune,PUN_KOTHRUD,WEST,MOTORBIKE,ACTIVE,7.7,MORNING,2020-07-19,2026-03-29T02:56:00
QBD00065,Bengaluru,BLR_WHITEFIELD,EAST,E_BIKE,ACTIVE,10.1,FLEX,2025-02-27,2026-03-15T17:10:00
QBD00066,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,11.9,MORNING,2021-05-21,2026-03-16T03:00:00
QBD00067,Bengaluru,BLR_INDIRANAGAR,EAST,MOTORBIKE,ACTIVE,11.7,FLEX,2021-10-14,2026-03-05T07:39:00
QBD00068,Hyderabad,HYD_GACHIBOWLI,WEST,BICYCLE,ACTIVE,4.1,FLEX,2025-02-17,2026-03-03T03:05:00
QBD00069,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,9.7,FLEX,2025-05-30,2026-03-06T11:56:00
QBD00070,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,5.8,FLEX,2022-05-05,2026-03-02T21:57:00
QBD00071,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,8.2,FLEX,2020-07-17,2026-03-12T21:46:00
QBD00072,Hyderabad,HYD_GACHIBOWLI,WEST,E_BIKE,ACTIVE,9.2,MORNING,2022-03-23,2026-03-07T19:46:00
QBD00073,Hyderabad,HYD_KUKATPALLY,NORTH,MOTORBIKE,ACTIVE,7.6,EVENING,2025-08-04,2026-03-16T04:11:00
QBD00074,Bengaluru,BLR_KORAMANGALA,SOUTH,E_BIKE,INACTIVE,4.2,FLEX,2021-10-15,2026-03-29T14:30:00
QBD00075,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,7.7,MORNING,2020-07-01,2026-03-28T00:36:00
QBD00076,Pune,PUN_HINJAWADI,WEST,SCOOTER,ACTIVE,10.6,FLEX,2022-03-08,2026-03-28T18:22:00
QBD00077,Bengaluru,BLR_KORAMANGALA,SOUTH,SCOOTER,ACTIVE,6.5,EVENING,2023-08-09,2026-03-26T05:40:00
QBD00078,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,10.9,EVENING,2023-02-06,2026-03-30T05:20:00
QBD00079,Hyderabad,HYD_GACHIBOWLI,WEST,MOTORBIKE,TEMPORARILY_PAUSED,12.4,MORNING,2025-06-26,2026-03-06T07:23:00
QBD00080,Bengaluru,BLR_KORAMANGALA,SOUTH,BICYCLE,TEMPORARILY_PAUSED,12.2,EVENING,2023-10-25,2026-03-11T17:51:00
QBD00081,Bengaluru,BLR_WHITEFIELD,EAST,E_BIKE,ACTIVE,6.2,FLEX,2024-11-02,2026-03-16T09:15:00
QBD00082,Hyderabad,HYD_KUKATPALLY,NORTH,BICYCLE,ACTIVE,5.5,EVENING,2025-03-25,2026-03-25T22:54:00
QBD00083,Pune,PUN_VIMAN_NAGAR,EAST,BICYCLE,ACTIVE,5.3,FLEX,2023-05-28,2026-03-22T10:34:00
QBD00084,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,9.7,FLEX,2020-02-27,2026-03-18T02:49:00
QBD00085,Hyderabad,HYD_GACHIBOWLI,WEST,SCOOTER,ACTIVE,4.5,EVENING,2024-05-24,2026-03-29T00:30:00
QBD00086,Bengaluru,BLR_JAYANAGAR,SOUTH,SCOOTER,ACTIVE,10.0,FLEX,2020-12-09,2026-03-02T03:47:00
QBD00087,Pune,PUN_HINJAWADI,WEST,E_BIKE,ACTIVE,5.7,MORNING,2022-08-02,2026-03-16T00:21:00
QBD00088,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,BICYCLE,ACTIVE,12.2,FLEX,2025-07-01,2026-03-31T16:36:00
QBD00089,Pune,PUN_VIMAN_NAGAR,EAST,BICYCLE,TEMPORARILY_PAUSED,9.2,EVENING,2022-03-05,2026-03-03T04:25:00
QBD00090,Bengaluru,BLR_KORAMANGALA,SOUTH,MOTORBIKE,ACTIVE,4.4,FLEX,2025-05-10,2026-03-12T13:52:00
QBD00091,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,5.5,EVENING,2020-03-01,2026-03-14T05:49:00
QBD00092,Pune,PUN_HINJAWADI,WEST,BICYCLE,INACTIVE,6.4,EVENING,2025-05-17,2026-03-16T10:32:00
QBD00093,Pune,PUN_KOTHRUD,WEST,MOTORBIKE,ACTIVE,8.3,EVENING,2021-10-25,2026-03-17T15:36:00
QBD00094,Pune,PUN_BANER,NORTH,SCOOTER,TEMPORARILY_PAUSED,10.0,FLEX,2022-10-14,2026-03-06T07:39:00
QBD00095,Pune,PUN_VIMAN_NAGAR,EAST,E_BIKE,ACTIVE,5.8,MORNING,2021-02-28,2026-03-04T00:10:00
QBD00096,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,10.6,FLEX,2024-05-06,2026-03-16T03:32:00
QBD00097,Bengaluru,BLR_WHITEFIELD,EAST,E_BIKE,ACTIVE,6.3,FLEX,2023-09-07,2026-03-03T22:14:00
QBD00098,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,INACTIVE,7.5,EVENING,2021-12-05,2026-03-26T04:51:00
QBD00099,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,4.7,MORNING,2022-04-25,2026-03-19T17:45:00
QBD00100,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,7.8,MORNING,2023-04-29,2026-03-24T05:32:00
QBD00101,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,12.2,MORNING,2020-05-25,2026-03-12T01:18:00
QBD00102,Bengaluru,BLR_KORAMANGALA,SOUTH,SCOOTER,INACTIVE,10.6,MORNING,2025-04-16,2026-03-19T09:37:00
QBD00103,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,9.8,MORNING,2023-01-16,2026-03-06T19:58:00
QBD00104,Bengaluru,BLR_INDIRANAGAR,EAST,BICYCLE,ACTIVE,5.9,FLEX,2023-04-30,2026-03-08T05:04:00
QBD00105,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,11.8,FLEX,2020-06-07,2026-03-08T08:59:00
QBD00106,Hyderabad,HYD_GACHIBOWLI,WEST,SCOOTER,ACTIVE,10.3,FLEX,2022-06-29,2026-03-07T17:45:00
QBD00107,Pune,PUN_KOTHRUD,WEST,BICYCLE,ACTIVE,9.8,FLEX,2025-02-18,2026-03-10T08:47:00
QBD00108,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,11.9,MORNING,2024-12-18,2026-03-19T04:15:00
QBD00109,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,ACTIVE,4.3,MORNING,2021-01-20,2026-03-30T10:47:00
QBD00110,Pune,PUN_HINJAWADI,WEST,BICYCLE,ACTIVE,5.9,EVENING,2022-05-25,2026-03-30T12:18:00
QBD00111,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,ACTIVE,6.3,FLEX,2021-08-16,2026-03-28T02:40:00
QBD00112,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,5.0,MORNING,2022-02-21,2026-03-25T12:39:00
QBD00113,Pune,PUN_BANER,NORTH,MOTORBIKE,INACTIVE,11.0,FLEX,2023-03-10,2026-03-24T07:13:00
QBD00114,Pune,PUN_KOTHRUD,WEST,SCOOTER,INACTIVE,12.3,MORNING,2021-03-18,2026-03-18T08:15:00
QBD00115,Pune,PUN_HINJAWADI,WEST,SCOOTER,ACTIVE,12.9,MORNING,2024-06-02,2026-03-28T14:17:00
QBD00116,Bengaluru,BLR_JAYANAGAR,SOUTH,BICYCLE,ACTIVE,6.1,EVENING,2023-03-26,2026-03-27T09:31:00
QBD00117,Bengaluru,BLR_WHITEFIELD,EAST,SCOOTER,ACTIVE,11.7,FLEX,2024-06-10,2026-03-27T01:57:00
QBD00118,Pune,PUN_KOTHRUD,WEST,MOTORBIKE,ACTIVE,11.8,EVENING,2024-06-08,2026-03-22T04:01:00
QBD00119,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,TEMPORARILY_PAUSED,4.1,MORNING,2024-05-30,2026-03-14T09:19:00
QBD00120,Bengaluru,BLR_INDIRANAGAR,EAST,BICYCLE,ACTIVE,4.6,EVENING,2020-11-13,2026-03-13T06:33:00
QBD00121,Bengaluru,BLR_KORAMANGALA,SOUTH,BICYCLE,TEMPORARILY_PAUSED,10.3,FLEX,2025-07-04,2026-03-15T02:50:00
QBD00122,Hyderabad,HYD_GACHIBOWLI,WEST,MOTORBIKE,ACTIVE,11.8,EVENING,2023-12-14,2026-03-21T14:59:00
QBD00123,Pune,PUN_VIMAN_NAGAR,EAST,SCOOTER,ACTIVE,9.0,FLEX,2022-03-28,2026-03-17T08:05:00
QBD00124,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,10.6,FLEX,2023-04-21,2026-03-20T08:35:00
QBD00125,Hyderabad,HYD_KUKATPALLY,NORTH,MOTORBIKE,ACTIVE,9.9,FLEX,2020-06-18,2026-03-03T16:17:00
QBD00126,Pune,PUN_HINJAWADI,WEST,BICYCLE,ACTIVE,5.2,EVENING,2023-08-08,2026-03-22T12:30:00
QBD00127,Bengaluru,BLR_WHITEFIELD,EAST,SCOOTER,ACTIVE,9.3,MORNING,2023-11-23,2026-03-28T04:34:00
QBD00128,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,ACTIVE,12.3,MORNING,2021-08-03,2026-03-29T04:07:00
QBD00129,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,11.0,MORNING,2023-08-15,2026-03-07T07:49:00
QBD00130,Bengaluru,BLR_KORAMANGALA,SOUTH,MOTORBIKE,ACTIVE,10.4,MORNING,2021-10-15,2026-03-03T22:20:00
QBD00131,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,9.6,EVENING,2020-04-05,2026-03-11T01:12:00
QBD00132,Bengaluru,BLR_INDIRANAGAR,EAST,E_BIKE,ACTIVE,9.7,MORNING,2020-12-20,2026-03-12T17:13:00
QBD00133,Bengaluru,BLR_JAYANAGAR,SOUTH,SCOOTER,ACTIVE,8.7,EVENING,2023-02-02,2026-03-24T09:57:00
QBD00134,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,8.6,EVENING,2023-10-27,2026-03-16T06:06:00
QBD00135,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,TEMPORARILY_PAUSED,8.3,MORNING,2025-04-05,2026-03-18T03:35:00
QBD00136,Bengaluru,BLR_INDIRANAGAR,EAST,MOTORBIKE,ACTIVE,4.6,FLEX,2025-05-03,2026-03-28T22:48:00
QBD00137,Bengaluru,BLR_JAYANAGAR,SOUTH,E_BIKE,ACTIVE,11.4,EVENING,2023-02-09,2026-03-18T08:24:00
QBD00138,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,4.2,FLEX,2025-11-10,2026-03-06T22:45:00
QBD00139,Bengaluru,BLR_KORAMANGALA,SOUTH,BICYCLE,ACTIVE,11.8,MORNING,2023-08-02,2026-03-15T15:32:00
QBD00140,Pune,PUN_HINJAWADI,WEST,E_BIKE,ACTIVE,4.5,EVENING,2025-11-29,2026-03-30T16:01:00
QBD00141,Pune,PUN_KOTHRUD,WEST,SCOOTER,ACTIVE,12.4,MORNING,2020-12-22,2026-03-15T22:40:00
QBD00142,Hyderabad,HYD_HITECH_CITY,WEST,MOTORBIKE,ACTIVE,12.3,FLEX,2023-06-02,2026-03-26T18:57:00
QBD00143,Hyderabad,HYD_GACHIBOWLI,WEST,MOTORBIKE,ACTIVE,12.1,EVENING,2024-02-15,2026-03-11T07:55:00
QBD00144,Bengaluru,BLR_JAYANAGAR,SOUTH,E_BIKE,ACTIVE,7.3,EVENING,2022-11-06,2026-03-16T03:12:00
QBD00145,Hyderabad,HYD_KUKATPALLY,NORTH,MOTORBIKE,ACTIVE,9.2,MORNING,2025-10-22,2026-03-03T03:16:00
QBD00146,Hyderabad,HYD_HITECH_CITY,WEST,MOTORBIKE,ACTIVE,10.4,EVENING,2023-07-29,2026-03-13T11:10:00
QBD00147,Pune,PUN_HINJAWADI,WEST,SCOOTER,ACTIVE,12.1,EVENING,2020-08-21,2026-03-05T09:56:00
QBD00148,Hyderabad,HYD_GACHIBOWLI,WEST,SCOOTER,ACTIVE,5.7,EVENING,2025-02-12,2026-03-10T07:46:00
QBD00149,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,SCOOTER,ACTIVE,7.6,FLEX,2020-03-24,2026-03-19T14:42:00
QBD00150,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,ACTIVE,7.7,EVENING,2021-04-03,2026-03-07T14:21:00
QBD00151,Bengaluru,BLR_KORAMANGALA,SOUTH,MOTORBIKE,ACTIVE,5.4,EVENING,2025-08-22,2026-03-03T03:32:00
QBD00152,Hyderabad,HYD_GACHIBOWLI,WEST,MOTORBIKE,ACTIVE,9.9,FLEX,2020-11-28,2026-03-04T03:55:00
QBD00153,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,6.7,FLEX,2023-03-16,2026-03-19T22:25:00
QBD00154,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,ACTIVE,12.0,FLEX,2022-04-10,2026-03-02T14:10:00
QBD00155,Hyderabad,HYD_HITECH_CITY,WEST,E_BIKE,ACTIVE,11.3,MORNING,2021-10-19,2026-03-28T10:28:00
QBD00156,Bengaluru,BLR_KORAMANGALA,SOUTH,MOTORBIKE,ACTIVE,12.8,FLEX,2024-04-17,2026-03-23T22:36:00
QBD00157,Pune,PUN_VIMAN_NAGAR,EAST,SCOOTER,INACTIVE,5.3,EVENING,2022-10-04,2026-03-25T20:08:00
QBD00158,Pune,PUN_KOTHRUD,WEST,BICYCLE,ACTIVE,8.2,MORNING,2023-05-17,2026-03-16T11:04:00
QBD00159,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,MOTORBIKE,ACTIVE,6.2,FLEX,2020-08-17,2026-03-09T07:24:00
QBD00160,Bengaluru,BLR_INDIRANAGAR,EAST,SCOOTER,ACTIVE,12.3,FLEX,2022-05-21,2026-03-26T02:28:00
QBD00161,Hyderabad,HYD_KUKATPALLY,NORTH,SCOOTER,ACTIVE,7.4,EVENING,2021-12-31,2026-03-03T05:01:00
QBD00162,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,11.4,EVENING,2025-09-18,2026-03-23T03:20:00
QBD00163,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,BICYCLE,ACTIVE,7.1,EVENING,2020-03-26,2026-03-28T08:13:00
QBD00164,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,SCOOTER,ACTIVE,8.8,FLEX,2022-05-23,2026-03-31T21:01:00
QBD00165,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,5.7,EVENING,2023-07-12,2026-03-13T00:13:00
QBD00166,Pune,PUN_BANER,NORTH,BICYCLE,ACTIVE,6.7,FLEX,2024-02-20,2026-03-10T18:08:00
QBD00167,Bengaluru,BLR_KORAMANGALA,SOUTH,SCOOTER,ACTIVE,6.2,MORNING,2023-05-09,2026-03-15T19:11:00
QBD00168,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,6.8,FLEX,2024-11-24,2026-03-17T23:18:00
QBD00169,Hyderabad,HYD_HITECH_CITY,WEST,MOTORBIKE,ACTIVE,9.3,FLEX,2021-06-21,2026-03-16T16:02:00
QBD00170,Bengaluru,BLR_WHITEFIELD,EAST,E_BIKE,ACTIVE,8.7,MORNING,2025-08-04,2026-03-22T18:33:00
QBD00171,Pune,PUN_HINJAWADI,WEST,SCOOTER,ACTIVE,11.3,EVENING,2025-09-24,2026-03-15T04:04:00
QBD00172,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,6.2,FLEX,2025-04-10,2026-03-09T12:35:00
QBD00173,Bengaluru,BLR_WHITEFIELD,EAST,E_BIKE,ACTIVE,6.3,FLEX,2022-10-14,2026-03-11T23:05:00
QBD00174,Hyderabad,HYD_HITECH_CITY,WEST,BICYCLE,ACTIVE,7.4,EVENING,2025-01-01,2026-03-10T19:50:00
QBD00175,Hyderabad,HYD_HITECH_CITY,WEST,E_BIKE,ACTIVE,4.5,FLEX,2025-05-06,2026-03-22T12:57:00
QBD00176,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,12.8,FLEX,2023-09-04,2026-03-25T20:56:00
QBD00177,Bengaluru,BLR_KORAMANGALA,SOUTH,SCOOTER,ACTIVE,8.7,EVENING,2020-02-17,2026-03-07T10:36:00
QBD00178,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,5.4,EVENING,2024-10-07,2026-03-11T09:30:00
QBD00179,Pune,PUN_KOTHRUD,WEST,SCOOTER,ACTIVE,12.7,FLEX,2024-03-31,2026-03-15T05:39:00
QBD00180,Pune,PUN_HINJAWADI,WEST,BICYCLE,ACTIVE,11.4,MORNING,2020-01-14,2026-03-26T00:00:00
QBD00181,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,9.9,EVENING,2023-07-09,2026-03-17T20:33:00
QBD00182,Hyderabad,HYD_GACHIBOWLI,WEST,BICYCLE,ACTIVE,12.5,FLEX,2021-01-18,2026-03-08T02:26:00
QBD00183,Hyderabad,HYD_HITECH_CITY,WEST,MOTORBIKE,ACTIVE,4.4,EVENING,2024-01-19,2026-03-18T17:16:00
QBD00184,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,10.5,EVENING,2022-04-08,2026-03-27T23:32:00
QBD00185,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,E_BIKE,ACTIVE,4.3,EVENING,2024-12-05,2026-03-17T08:54:00
QBD00186,Bengaluru,BLR_WHITEFIELD,EAST,SCOOTER,ACTIVE,11.3,EVENING,2025-10-16,2026-03-14T16:12:00
QBD00187,Bengaluru,BLR_KORAMANGALA,SOUTH,SCOOTER,ACTIVE,5.6,EVENING,2025-12-03,2026-03-21T07:04:00
